BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight
38.8,,2015 LR,,Kenya,8.0,0.5,0.0,2015,9.9,10.0,,8.0,5.0,,16.7,id_02050f85,34.50756945,5.0,0.758480134,20.6
17.53,,2018 LR,localmaize,Kenya,6.0,1.0,,2018,,45.0,,6.0,6.0,3/9/2018,18.26,id_020fab16,34.5087466,6.0,0.0566815,
,,2017 LR,,Kenya,8.0,0.25,,2017,11.2,,,8.0,5.0,,,id_0211ffd4,34.8284303,,0.6194391,12.0
,,2017 LR,,Kenya,8.0,0.5,2.0,2017,6.0,2.0,,8.0,5.0,,,id_02141b91,34.4473075,5.0,-1.0530325,5.75
16.33,,2018 LR,pioneerp3812w,Kenya,6.0,0.125,,2018,,4.0,,6.0,6.0,3/22/2018,20.14,id_02194229,34.759747,6.0,-0.7040523,
,,2018 LR,,Kenya,,0.5,,2018,9.8,,,,,,,id_0219501e,34.168803,,0.4105223,7.25
25.0,,2016 LR,WH_505,Kenya,8.0,0.25,12.5,2016,12.5,12.5,,8.0,5.0,3/29/2016,24.15,id_021e700e,34.2354103,5.0,0.474133914,12.5
21.6,,2018 LR,Ks_614,Tanzania,6.0,1.5,100.0,2018,18.3,100.0,,6.0,6.0,12/20/2017,19.7,id_021fb957,35.7501691,6.0,-7.8316525,20.7
,,2017 LR,H 6213,Kenya,8.0,1.25,75.0,2017,28.17,75.0,,8.0,5.0,,,id_02208940,34.76210631,5.0,0.840321306,31.82
,,2018 LR,,Kenya,,0.25,,2018,5.1,,,,,,,id_022e2408,34.5015891,,0.207441,3.45
31.15,,2016 LR,H_6213,Kenya,8.0,0.125,8.0,2016,19.45,4.0,,8.0,5.0,,32.1,id_022e9f6b,34.83988446,5.0,-0.611473392,17.4
25.0,,2016 LR,,Kenya,8.0,0.25,3.0,2016,11.0,6.0,,,5.0,,24.5,id_02321ce7,34.60691257,,0.140736484,12.0
21.9,,2018 LR,h6213,Kenya,6.0,0.75,,2018,,42.0,,6.0,6.0,3/28/2018,29.55,id_0232461c,34.65225694,6.0,0.802349223,
25.25,,2016 LR,SC_DUMA_43,Kenya,8.0,0.75,37.5,2016,8.5,37.5,,8.0,5.0,4/5/2016,19.15,id_02338957,34.578793,5.0,-0.802120603,12.6
,,2018 LR,,Kenya,,0.25,,2018,1.6,,,,,,,id_0234dd52,34.5068384,,-0.640881251,5.1
24.0,,2018 LR,sctembo73,Kenya,6.0,2.0,,2018,,100.0,,6.0,6.0,3/4/2018,21.0,id_0236c298,34.8693586,6.0,0.971725,
,,2018 LR,,Kenya,,0.5,,2018,15.2,,,,,,,id_023a8bcd,34.46869231,,0.79256385,6.25
